statename,Districtname,block,pincode,,
Andaman & Nicobar Island,Nicobar,Carnicobar,744301,,
Andaman & Nicobar Island,Nicobar,Carnicobar,744303,,
Andaman & Nicobar Island,Nicobar,Nancorie,744302,,
Andaman & Nicobar Island,Nicobar,Nancowrie,744304,,
Andaman & Nicobar Island,North And Middle Andaman,Diglipur,744202,,
Andaman & Nicobar Island,North And Middle Andaman,Mayabander,744201,,
Andaman & Nicobar Island,North And Middle Andaman,Mayabander,744204,,
Andaman & Nicobar Island,North And Middle Andaman,Port Blair,744210,,
Andaman & Nicobar Island,North And Middle Andaman,Rangat,744203,,
Andaman & Nicobar Island,North And Middle Andaman,Rangat,744205,,
Andaman & Nicobar Island,North And Middle Andaman,Rangat,744209,,
Andaman & Nicobar Island,South Andaman,Ferrargunj,744103,,
Andaman & Nicobar Island,South Andaman,Ferrargunj,744105,,
Andaman & Nicobar Island,South Andaman,Ferrargunj,744107,,
Andaman & Nicobar Island,South Andaman,Ferrargunj,744206,,
Andaman & Nicobar Island,South Andaman,Hut Bay,744207,,
Andaman & Nicobar Island,South Andaman,Port  Blair,744104,,
Andaman & Nicobar Island,South Andaman,Port Blair,744101,,
Andaman & Nicobar Island,South Andaman,Port Blair,744102,,
Andaman & Nicobar Island,South Andaman,Port Blair,744106,,
Andaman & Nicobar Island,South Andaman,Port Blair,744211,,
Andaman & Nicobar Island,South Andaman,Portblair,744112,,
Andhra Pradesh,Ananthapur,Agali,515311,,
Andhra Pradesh,Ananthapur,Amadagur,515556,,
Andhra Pradesh,Ananthapur,Amadaguru,515561,,
Andhra Pradesh,Ananthapur,Amarapuram,515281,,
Andhra Pradesh,Ananthapur,Amarapuram,515286,,
Andhra Pradesh,Ananthapur,Amarapuram,515305,,
Andhra Pradesh,Ananthapur,Ammalladinne,515445,,
Andhra Pradesh,Ananthapur,Anantapur,515001,,
Andhra Pradesh,Ananthapur,Anantapur,515002,,
Andhra Pradesh,Ananthapur,Anantapur,515003,,
Andhra Pradesh,Ananthapur,Anantapur,515004,,
Andhra Pradesh,Ananthapur,Anantapur,515005,,
Andhra Pradesh,Ananthapur,Anantapur,515721,,
Andhra Pradesh,Ananthapur,Anantapur,515801,,
Andhra Pradesh,Ananthapur,Atmakur,515751,,
Andhra Pradesh,Ananthapur,B K Samudram,515701,,
Andhra Pradesh,Ananthapur,Bathalapalle,515202,,
Andhra Pradesh,Ananthapur,Bathalapalle,515501,,
Andhra Pradesh,Ananthapur,Bathalapalle,515661,,
Andhra Pradesh,Ananthapur,Bathalapalle,515672,,
Andhra Pradesh,Ananthapur,Bathalapalli,515631,,
Andhra Pradesh,Ananthapur,Beluguppa,515741,,
Andhra Pradesh,Ananthapur,Beluguppa,515761,,
Andhra Pradesh,Ananthapur,Beluguppa,515763,,
Andhra Pradesh,Ananthapur,Bommanahal,515812,,
Andhra Pradesh,Ananthapur,Bommanahal,515870,,
Andhra Pradesh,Ananthapur,Bommanahal,515871,,
Andhra Pradesh,Ananthapur,Brahma Samudram,515767,,
Andhra Pradesh,Ananthapur,Brahmasamudram,515863,,
Andhra Pradesh,Ananthapur,Bukkapatnam,515144,,
Andhra Pradesh,Ananthapur,Bukkapatnam,515154,,
Andhra Pradesh,Ananthapur,Bukkapatnam,515159,,
