state,pincode
Andaman & Nicobar Island,744103
Andaman & Nicobar Island,744105
Andaman & Nicobar Island,744302
Andaman & Nicobar Island,744207
Andaman & Nicobar Island,744106
Andaman & Nicobar Island,744205
Andaman & Nicobar Island,744204
Andaman & Nicobar Island,744104
Andaman & Nicobar Island,744203
Andaman & Nicobar Island,744304
Andaman & Nicobar Island,744107
Andaman & Nicobar Island,744303
Andaman & Nicobar Island,744202
Andaman & Nicobar Island,744112
Andaman & Nicobar Island,744101
Andaman & Nicobar Island,744206
Andaman & Nicobar Island,744201
Andaman & Nicobar Island,744301
Andaman & Nicobar Island,744209
Andaman & Nicobar Island,744211
Andaman & Nicobar Island,744102
Andaman & Nicobar Island,744210
Andhra Pradesh,533213
Andhra Pradesh,524234
Andhra Pradesh,522614
Andhra Pradesh,530018
Andhra Pradesh,522237
Andhra Pradesh,522649
Andhra Pradesh,522236
Andhra Pradesh,522257
Andhra Pradesh,515822
Andhra Pradesh,522256
Andhra Pradesh,522211
Andhra Pradesh,522124
Andhra Pradesh,522235
Andhra Pradesh,515281
Andhra Pradesh,524347
Andhra Pradesh,535001
Andhra Pradesh,530017
Andhra Pradesh,530020
Andhra Pradesh,522647
Andhra Pradesh,533307
Andhra Pradesh,530022
Andhra Pradesh,530024
Andhra Pradesh,515511
Andhra Pradesh,515766
Andhra Pradesh,532195
Andhra Pradesh,523002
Andhra Pradesh,521181
Andhra Pradesh,523105
Andhra Pradesh,534327
Andhra Pradesh,530040
Andhra Pradesh,523108
Andhra Pradesh,524346
Andhra Pradesh,523225
Andhra Pradesh,530026
Andhra Pradesh,524345
Andhra Pradesh,524344
Andhra Pradesh,524343
Andhra Pradesh,518346
Andhra Pradesh,523230
Andhra Pradesh,515775
Andhra Pradesh,533449
Andhra Pradesh,516175
Andhra Pradesh,523240
Andhra Pradesh,523245
Andhra Pradesh,533212
Andhra Pradesh,522113
Andhra Pradesh,524341
Andhra Pradesh,522111
Andhra Pradesh,522102
Andhra Pradesh,523316
Andhra Pradesh,518112
Andhra Pradesh,533448
Andhra Pradesh,522034
Andhra Pradesh,535568
Andhra Pradesh,523241
Andhra Pradesh,523263
Andhra Pradesh,532215
